year,county_name,yield_bu_per_acre
2017,HANCOCK,200.2
2017,HARDIN,213.7
2017,HARRISON,193.2
2017,HENRY,196.4
2017,HOWARD,201.7
2017,HUMBOLDT,200.9
2017,IDA,215.7
2017,IOWA,216.7
2017,JACKSON,202.1
2017,JASPER,204.6
2017,JEFFERSON,165.5
2017,JOHNSON,213.1
2017,JONES,217.0
2017,KEOKUK,176.4
2017,KOSSUTH,205.6
2017,LEE,178.0
2017,LINN,217.4
2017,LOUISA,216.6
2017,LYON,218.9
2017,MADISON,173.1
2017,MAHASKA,177.2
2017,MARION,185.7
2017,MARSHALL,222.4
2017,MILLS,190.1
2017,MITCHELL,213.4
2017,MONONA,196.0
2017,MONROE,169.9
2017,MONTGOMERY,199.1
2017,MUSCATINE,206.8
2017,O BRIEN,213.8
2017,OSCEOLA,211.6
2017,OTHER (COMBINED) COUNTIES,129.7
2017,PAGE,193.1
2017,PALO ALTO,195.4
2017,PLYMOUTH,193.0
2017,POCAHONTAS,190.9
2017,POLK,200.3
2017,POTTAWATTAMIE,195.8
2017,POWESHIEK,215.1
2017,RINGGOLD,167.8
2017,SAC,194.5
2017,SCOTT,220.0
2017,SHELBY,207.1
2017,SIOUX,220.7
2017,STORY,200.3
2017,TAMA,220.6
2017,TAYLOR,175.0
2017,UNION,147.9
2017,VAN BUREN,128.2
2017,WAPELLO,153.0
2017,WARREN,183.2
2017,WASHINGTON,220.4
2017,WEBSTER,197.9
2017,WINNEBAGO,210.7
2017,WINNESHIEK,199.7
2017,WOODBURY,200.5
2017,WORTH,198.5
2017,WRIGHT,206.9
2018,ADAIR,149.5
2018,ADAMS,171.6
2018,ALLAMAKEE,198.4
2018,AUDUBON,180.0
2018,BENTON,214.6
2018,BLACK HAWK,206.2
2018,BOONE,193.7
2018,BREMER,212.4
2018,BUCHANAN,207.1
2018,BUENA VISTA,193.1
2018,BUTLER,211.3
2018,CALHOUN,193.3
2018,CARROLL,208.4
2018,CASS,169.5
2018,CEDAR,222.3
2018,CERRO GORDO,184.4
2018,CHEROKEE,213.3
2018,CHICKASAW,192.9
2018,CLARKE,161.8
2018,CLAY,158.5
2018,CLAYTON,201.5
2018,CLINTON,210.9
2018,CRAWFORD,214.0
2018,DALLAS,174.0
2018,DECATUR,172.5
2018,DELAWARE,224.8
2018,DES MOINES,195.4
2018,DICKINSON,160.4
2018,DUBUQUE,211.8
2018,EMMET,155.8
2018,FAYETTE,200.1
2018,FLOYD,184.4
2018,FRANKLIN,204.3
2018,FREMONT,195.1
